title;release_date;esrb_rating;developer_id;short_description;long_description;average_rating;rating_count;cover
Grand Theft Auto V;2013-09-17;Mature;1;Open-world action game;Experience the sprawling city of Los Santos in this mature-rated action-packed game.;0.0;0;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg
The Witcher 3: Wild Hunt;2015-05-18;Mature;2;Action RPG;Embark on a journey as Geralt of Rivia in this mature-rated action RPG set in a vast open world.;0.0;0;https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg
Portal 2;2011-04-18;Everyone 10+;3;Puzzle Shooter;Solve intricate puzzles using the portal gun in this family-friendly game.;0.0;0;https://media.rawg.io/media/games/2ba/2bac0e87cf45e5b508f227d281c9252a.jpg
Counter-Strike: Global Offensive;2012-08-21;Mature;4;Online Shooter;Engage in intense multiplayer battles in this mature-rated shooter.;0.0;0;https://media.rawg.io/media/games/736/73619bd336c894d6941d926bfd563946.jpg
Tomb Raider (2013);2013-03-05;Mature;5;Action Adventure;Join Lara Croft on her origin story in this mature-rated action-adventure game.;0.0;0;https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg
Portal;2007-10-09;Teen;3;Puzzle Shooter;Navigate through challenging test chambers using the portal gun in this family-friendly game.;0.0;0;https://media.rawg.io/media/games/7fa/7fa0b586293c5861ee32490e953a4996.jpg
Left 4 Dead 2;2009-11-17;Mature;6;Co-op Zombie Shooter;Survive against hordes of zombies with friends in this mature-rated cooperative shooter.;0.0;0;https://media.rawg.io/media/games/d58/d588947d4286e7b5e0e12e1bea7d9844.jpg
The Elder Scrolls V: Skyrim;2011-11-11;Mature;7;Open-world RPG;Explore the vast and detailed world of Skyrim in this mature-rated action RPG.;0.0;0;https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg
Red Dead Redemption 2;2018-10-26;Mature;1;Rockstar Games;Immerse yourself in the wild west as Arthur Morgan in this mature-rated action game.;0.0;0;https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg
BioShock Infinite;2013-03-26;Mature;9;First-person Shooter;Uncover a captivating story in the floating city of Columbia in this mature-rated shooter.;0.0;0;https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg
Life is Strange;2015-01-29;Mature;10;Interactive Drama;Make choices that impact the story in this mature-rated interactive drama game.;0.0;0;https://media.rawg.io/media/games/562/562553814dd54e001a541e4ee83a591c.jpg
Borderlands 2;2012-09-18;Mature;8;Co-op Shooter RPG;Team up with friends for a chaotic adventure in this mature-rated cooperative shooter RPG.;0.0;0;https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg
Half-Life 2;2004-11-16;Mature;3;First-person Shooter;Experience the iconic story of Gordon Freeman in this mature-rated first-person shooter.;0.0;0;https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg
BioShock;2007-08-21;Mature;9;First-person Shooter;Dive into the dystopian underwater city of Rapture in this mature-rated shooter.;0.0;0;https://media.rawg.io/media/games/bc0/bc06a29ceac58652b684deefe7d56099.jpg
Destiny 2;2017-09-06;Teen;9;Online Shooter;Join the fight against the Red Legion in this teen-rated online shooter.;0.0;0;https://media.rawg.io/media/games/34b/34b1f1850a1c06fd971bc6ab3ac0ce0e.jpg
God of War (2018);2018-04-20;Mature;10;Action Adventure;Embark on a father-son journey as Kratos in this mature-rated action-adventure game.;0.0;0;https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg
Limbo;2010-07-21;Teen;11;Indie Puzzle Platformer;Navigate a dark and atmospheric world in this teen-rated indie puzzle-platformer.;0.0;0;https://media.rawg.io/media/games/942/9424d6bb763dc38d9378b488603c87fa.jpg
Fallout 4;2015-11-09;Mature;7;Open-world RPG;Survive and thrive in the post-apocalyptic wasteland in this mature-rated action RPG.;0.0;0;https://media.rawg.io/media/games/d82/d82990b9c67ba0d2d09d4e6fa88885a7.jpg
